# KDOS security database — GENERATED by vendor.py; do not edit.
# generated 2026-08-12 from Alpine secdb: v3.19/main v3.19/community v3.20/main v3.20/community v3.21/main v3.21/community v3.22/main v3.22/community v3.23/main v3.23/community v3.24/main v3.24/community
# source https://secdb.alpinelinux.org/ (CC-BY-SA-4.0)
# <alpine-package> <version-that-fixed-it> <CVE>[,<CVE>...]
7zip 26.01-r0 CVE-2026-48092,CVE-2026-48095,CVE-2026-48101,CVE-2026-48102,CVE-2026-48103,CVE-2026-48104,CVE-2026-48111,CVE-2026-48112
aardvark-dns 0 CVE-2024-8418
aardvark-dns 1.12.2-r0 CVE-2024-8418
aardvark-dns 1.17.1-r0 CVE-2026-35406
ack 3.10.0-r0 CVE-2026-49145,CVE-2026-49146,CVE-2026-49147
advancecomp 2.1-r2 CVE-2019-9210
advancecomp 2.4-r0 CVE-2022-35014,CVE-2022-35015,CVE-2022-35016,CVE-2022-35017,CVE-2022-35018,CVE-2022-35019,CVE-2022-35020
aerc 1.21.0-r0 CVE-2025-49466
alertmanager 0.26.0-r0 CVE-2023-40577
alpine 2.23-r0 CVE-2020-14929
alpine 2.25-r0 CVE-2021-38370
amavis 2.13.1-r0 CVE-2024-28054
ansible 2.10.1-r0 CVE-2020-25646
ansible 2.10.7-r0 CVE-2021-20191
antiword 0.37-r3 CVE-2014-8123
anubis 1.15.2-r0 CVE-2025-24369
aom 3.1.1-r0 CVE-2021-30473,CVE-2021-30474,CVE-2021-30475
aom 3.9.1-r0 CVE-2024-5171
apache-ant 1.10.11-r0 CVE-2021-36373,CVE-2021-36374
apache-ant 1.10.8-r0 CVE-2020-1945
apache-ant 1.10.9-r0 CVE-2020-11979
apache2 2.4.26-r0 CVE-2017-3167,CVE-2017-3169,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679
apache2 2.4.27-r1 CVE-2017-9798
apache2 2.4.33-r0 CVE-2017-15710,CVE-2017-15715,CVE-2018-1283,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312
apache2 2.4.34-r0 CVE-2018-1333,CVE-2018-8011
apache2 2.4.35-r0 CVE-2018-11763
apache2 2.4.38-r0 CVE-2018-17189,CVE-2018-17199,CVE-2019-0190
apache2 2.4.39-r0 CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220
